"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/10/23 11:29 PM,"Mickko?? STREAM GENTO BY SB19?","1268214002238189569",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @MonsterVoter19: We are always and forever PROUD of you Boys!!! SB19 truly -BREAKING THE NORMS of the Philippine Music Industry !

Nagsi…",,,26.0,"1667554580341886981"
6/10/23 11:29 PM,"Jack","1495764010783764480",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @OneMusicPH: “We built it not just for SB19, but for the whole PPOP or OPM insudtry...”

#SB19_JOSH talks about the time they started dr…",,,705.0,"1667554563635785730"
6/10/23 11:29 PM,"ching?????","1580158287839887362",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @OneMusicPH: “We built it not just for SB19, but for the whole PPOP or OPM insudtry...”

#SB19_JOSH talks about the time they started dr…",,,705.0,"1667554561706582023"
6/10/23 11:29 PM,"haliya ???? || ia era","1443120903152300034",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @chartdataPH: Spotify PH Daily Top OPM Groups (June 8)

#1 @BenAndBenMusic *596th day*
#2 @dilawband 
#3 @SB19Official [+5]
#4 @december…",,,1646.0,"1667554557369647106"
6/10/23 11:29 PM,"Ari ?³? ? ??STREAM PAGTATAG! EP","1189847838613630977",,"-1","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @stellintokeun: STREAM! STREAM! STREAM MGA MIMA! DIBA MAY GOALS TAYO? GUSTO KO MAG TOP 1 OPM & BG ARTIST SB19 SA SPOTIFY!!  

@SB19Offic…",,,3.0,"1667554534196154370"
6/10/23 11:29 PM,"arlyn ??? | on vacay ??","1402259810620383232",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @Dickolaidascope: I hope this will be cleared tomorrow po. Thank you, please. In the name of OPM and artistry. Please clear tomorrow and…",,,4.0,"1667554470799216642"
6/10/23 11:28 PM,"glenn ?? | ??","741656953269538816",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @bianca_cavino17: It's not SB19's fault if their music label, @sonymusicph, wants to protect their rights as artists. Shows shld pay for…",,,250.0,"1667554448854630400"
6/10/23 11:28 PM,"Salve Domingo","4665464594","GermaineDeRuna","1504353990099697667","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@GermaineDeRuna Baka sir @ogiealcasid pa explain po sa kanila since composer po kayo at naging president ng opm...",,,0.0,"1667554439790731265"
6/10/23 11:28 PM,"ter","1653937829402247169",,"-1","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @KAIAmananSTAN: Shout out nalang ba bayad sa art? Edi ilubog nalang natin yung buong OPM industry. Ikabit nalang natin sa malalaking com…",,,45.0,"1667554398174851072"
6/10/23 11:28 PM,"Ate Pau","790605399296704512",,"-1","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @StarMusicPH: 'Wag na magdalawang isip na kung papakinggan ang bagong kanta ni @vivoree dahil parte na ito ng @SpotifyPH's OPM Rising Pl…",,,315.0,"1667554384069398529"
6/10/23 11:28 PM,"A'lyn | ?? @US_ATIN ??????? | SV???","1569297041607598082",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @OneMusicPH: “We built it not just for SB19, but for the whole PPOP or OPM insudtry...”

#SB19_JOSH talks about the time they started dr…",,,705.0,"1667554371381633025"
6/10/23 11:28 PM,"Camellia sinensis ????¹³| SEKEN ??","1342816689918865408",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @bianca_cavino17: RESPECT LOCAL ARTISTS

That's the tweet.

When it comes to OPM artists' rights I will fight for it. This is afterall f…",,,42.0,"1667554353878822912"
6/10/23 11:28 PM,"void","1180057546389770241",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @pen_pearl: I think it’s time to educate Pinoy entertainment industry about music royalties. Hosts’ comments show their lack of knowledg…",,,77.0,"1667554350783422464"
